Year,Month,date,NO3 (ugN/L)
2011,11,11/1/2011,376.1235
2011,12,12/1/2011,429.77475
2012,1,1/1/2012,419.0445
2012,2,2/1/2012,394.76025
2012,3,3/1/2012,307.890405
2012,4,4/1/2012,394.706034
2012,5,5/1/2012,432.587205
2012,6,6/1/2012,409.8786075
2012,7,7/1/2012,410.830776
2012,8,8/1/2012,397.6574175
2012,9,9/1/2012,289.8297
2012,10,10/1/2012,327.866742
2012,11,11/1/2012,384.6794625
2012,12,12/1/2012,386.474238
2013,1,1/1/2013,377.2360575
2013,2,2/1/2013,338.38314
2013,3,3/1/2013,359.0624025
2013,4,4/1/2013,518.765796
2013,5,5/1/2013,438.246
2013,6,6/1/2013,427.1712525
2013,7,7/1/2013,396.549378
2013,8,8/1/2013,469.8098775
2013,9,9/1/2013,390.005055
2013,10,10/1/2013,469.718388
2013,11,11/1/2013,236.0824425
2013,12,12/1/2013,5.15805
2014,1,1/1/2014,5.0319225
2014,2,2/1/2014,7.97427
2014,3,3/1/2014,77.0714325
2014,4,4/1/2014,388.290474
2014,5,5/1/2014,459.4636575
2014,6,6/1/2014,444.830985
2014,7,7/1/2014,271.662822
2014,8,8/1/2014,209.56743
2014,9,9/1/2014,161.8742925
2014,10,10/1/2014,367.22304
2014,11,11/1/2014,348.5354625
2014,12,12/1/2014,262.7160525
