Estuary,station_code,Date,Month,Total Catch
San Antonio Bay,84,12/1/2017,12.00,7
San Antonio Bay,56,12/1/2017,12.00,94
San Antonio Bay,259,12/4/2017,12.00,29
San Antonio Bay,285,12/4/2017,12.00,196
San Antonio Bay,282,12/4/2017,12.00,45
San Antonio Bay,190,12/4/2017,12.00,101
San Antonio Bay,114,12/4/2017,12.00,1207
San Antonio Bay,112,12/4/2017,12.00,57
San Antonio Bay,96,12/4/2017,12.00,213
San Antonio Bay,227,12/19/2017,12.00,35
San Antonio Bay,236,12/19/2017,12.00,5
San Antonio Bay,286,12/19/2017,12.00,96
San Antonio Bay,287,12/19/2017,12.00,287
San Antonio Bay,277,12/19/2017,12.00,111
San Antonio Bay,280,12/19/2017,12.00,83
San Antonio Bay,143,12/21/2017,12.00,160
San Antonio Bay,12,12/21/2017,12.00,69
San Antonio Bay,35,12/21/2017,12.00,26
San Antonio Bay,36,12/21/2017,12.00,1
Aransas Bay,267,7/3/2017,7.00,273
Aransas Bay,255,7/3/2017,7.00,370
Aransas Bay,226,7/3/2017,7.00,309
Aransas Bay,152,7/3/2017,7.00,547
Aransas Bay,126,7/3/2017,7.00,68
Aransas Bay,103,7/3/2017,7.00,85
Aransas Bay,37,7/3/2017,7.00,78
Aransas Bay,74,7/3/2017,7.00,185
Aransas Bay,9,7/3/2017,7.00,9
Aransas Bay,14,7/3/2017,7.00,39
Aransas Bay,343,7/17/2017,7.00,112
Aransas Bay,332,7/17/2017,7.00,517
Aransas Bay,304,7/17/2017,7.00,51
Aransas Bay,261,7/20/2017,7.00,51
Aransas Bay,232,7/20/2017,7.00,336
Aransas Bay,186,7/20/2017,7.00,5
Aransas Bay,208,7/20/2017,7.00,47
Aransas Bay,94,7/20/2017,7.00,14
Aransas Bay,171,7/20/2017,7.00,17
Aransas Bay,106,7/25/2017,7.00,89
Aransas Bay,237,8/8/2017,8.00,5
Aransas Bay,224,8/8/2017,8.00,0
Aransas Bay,279,8/8/2017,8.00,83
Aransas Bay,322,8/8/2017,8.00,14
Aransas Bay,333,8/8/2017,8.00,71
Aransas Bay,340,8/8/2017,8.00,44
Aransas Bay,345,8/8/2017,8.00,11
Aransas Bay,320,8/8/2017,8.00,95
Aransas Bay,22,8/14/2017,8.00,37
Aransas Bay,25,8/14/2017,8.00,32
Aransas Bay,119,9/18/2017,9.00,27
Aransas Bay,233,9/18/2017,9.00,13
Aransas Bay,246,9/18/2017,9.00,7
Aransas Bay,272,9/18/2017,9.00,20
Aransas Bay,86,9/18/2017,9.00,0
Aransas Bay,88,9/18/2017,9.00,9
Aransas Bay,241,9/19/2017,9.00,4
Aransas Bay,154,9/19/2017,9.00,5
Aransas Bay,130,9/19/2017,9.00,21
Aransas Bay,237,9/21/2017,9.00,0
Aransas Bay,284,10/3/2017,10.00,28
Aransas Bay,345,10/3/2017,10.00,156
Aransas Bay,339,10/3/2017,10.00,21
Aransas Bay,279,10/3/2017,10.00,18
Aransas Bay,217,10/4/2017,10.00,11
Aransas Bay,193,10/4/2017,10.00,37
Aransas Bay,74,10/11/2017,10.00,102
Aransas Bay,50,10/11/2017,10.00,230
Aransas Bay,9,10/11/2017,10.00,26
Aransas Bay,123,10/12/2017,10.00,45
Aransas Bay,154,10/20/2017,10.00,12
Aransas Bay,128,10/20/2017,10.00,9
Aransas Bay,102,10/20/2017,10.00,2
Aransas Bay,130,10/20/2017,10.00,19
Aransas Bay,55,10/20/2017,10.00,17
Aransas Bay,38,10/20/2017,10.00,45
Aransas Bay,246,10/23/2017,10.00,11
Aransas Bay,248,10/23/2017,10.00,15
Aransas Bay,215,10/23/2017,10.00,24
Aransas Bay,234,10/23/2017,10.00,39
Aransas Bay,273,11/1/2017,11.00,166
Aransas Bay,169,11/1/2017,11.00,30
Aransas Bay,215,11/1/2017,11.00,11
Aransas Bay,213,11/1/2017,11.00,65
Aransas Bay,212,11/1/2017,11.00,103
Aransas Bay,186,11/1/2017,11.00,149
Aransas Bay,9,11/7/2017,11.00,57
Aransas Bay,49,11/7/2017,11.00,340
Aransas Bay,96,11/7/2017,11.00,43
Aransas Bay,30,11/7/2017,11.00,30
Aransas Bay,86,11/16/2017,11.00,41
Aransas Bay,307,11/17/2017,11.00,16
Aransas Bay,313,11/17/2017,11.00,5
Aransas Bay,303,11/17/2017,11.00,40
Aransas Bay,275,11/17/2017,11.00,20
Aransas Bay,250,11/17/2017,11.00,53
Aransas Bay,124,11/20/2017,11.00,108
Aransas Bay,152,11/20/2017,11.00,2
Aransas Bay,77,11/20/2017,11.00,38
Aransas Bay,225,11/20/2017,11.00,122
Aransas Bay,80,12/1/2017,12.00,196
Aransas Bay,118,12/1/2017,12.00,4
Aransas Bay,194,12/1/2017,12.00,37
Aransas Bay,157,12/1/2017,12.00,74
Aransas Bay,214,12/1/2017,12.00,55
Aransas Bay,76,12/1/2017,12.00,60
Aransas Bay,87,12/1/2017,12.00,413
Aransas Bay,153,12/1/2017,12.00,135
Aransas Bay,64,12/1/2017,12.00,168
Aransas Bay,70,12/1/2017,12.00,8
Aransas Bay,329,12/18/2017,12.00,41
Aransas Bay,323,12/18/2017,12.00,10
Aransas Bay,291,12/18/2017,12.00,260
Aransas Bay,279,12/18/2017,12.00,184
Aransas Bay,255,12/18/2017,12.00,44
Aransas Bay,25,12/19/2017,12.00,21
Aransas Bay,51,12/19/2017,12.00,92
Aransas Bay,208,12/19/2017,12.00,25
Aransas Bay,211,12/19/2017,12.00,36
Aransas Bay,246,12/19/2017,12.00,274
Corpus Christi Bay,117,7/4/2017,7.00,2
Corpus Christi Bay,95,7/4/2017,7.00,23
Corpus Christi Bay,111,7/4/2017,7.00,89
Corpus Christi Bay,130,7/4/2017,7.00,31
Corpus Christi Bay,63,7/5/2017,7.00,37
Corpus Christi Bay,76,7/5/2017,7.00,32
Corpus Christi Bay,92,7/5/2017,7.00,36
Corpus Christi Bay,238,7/12/2017,7.00,6
Corpus Christi Bay,243,7/12/2017,7.00,136
Corpus Christi Bay,239,7/12/2017,7.00,25
Corpus Christi Bay,36,7/19/2017,7.00,258
Corpus Christi Bay,15,7/19/2017,7.00,117
Corpus Christi Bay,20,7/19/2017,7.00,33
Corpus Christi Bay,173,7/25/2017,7.00,33
Corpus Christi Bay,174,7/25/2017,7.00,36
Corpus Christi Bay,175,7/25/2017,7.00,64
Corpus Christi Bay,192,7/25/2017,7.00,44
Corpus Christi Bay,90,7/26/2017,7.00,123
Corpus Christi Bay,74,7/26/2017,7.00,10
Corpus Christi Bay,91,7/26/2017,7.00,89
Corpus Christi Bay,115,8/2/2017,8.00,62
Corpus Christi Bay,95,8/2/2017,8.00,13
Corpus Christi Bay,96,8/2/2017,8.00,4
Corpus Christi Bay,97,8/2/2017,8.00,4
Corpus Christi Bay,13,8/9/2017,8.00,7
Corpus Christi Bay,12,8/9/2017,8.00,19
Corpus Christi Bay,10,8/9/2017,8.00,305
Corpus Christi Bay,20,8/9/2017,8.00,15
Corpus Christi Bay,40,8/9/2017,8.00,9
Corpus Christi Bay,43,8/9/2017,8.00,13
Corpus Christi Bay,66,9/26/2017,9.00,27
Corpus Christi Bay,64,9/26/2017,9.00,48
Corpus Christi Bay,94,9/26/2017,9.00,16
Corpus Christi Bay,133,9/26/2017,9.00,20
Corpus Christi Bay,234,9/26/2017,9.00,23
Corpus Christi Bay,238,9/26/2017,9.00,13
Corpus Christi Bay,59,9/27/2017,9.00,16
Corpus Christi Bay,13,9/27/2017,9.00,61
Corpus Christi Bay,21,9/27/2017,9.00,5
Corpus Christi Bay,20,9/27/2017,9.00,17
Corpus Christi Bay,69,10/2/2017,10.00,12
Corpus Christi Bay,27,10/2/2017,10.00,33
Corpus Christi Bay,101,10/2/2017,10.00,12
Corpus Christi Bay,238,10/2/2017,10.00,10
Corpus Christi Bay,56,10/2/2017,10.00,34
Corpus Christi Bay,20,10/5/2017,10.00,4
Corpus Christi Bay,40,10/5/2017,10.00,5
Corpus Christi Bay,30,10/5/2017,10.00,17
Corpus Christi Bay,90,10/10/2017,10.00,6
Corpus Christi Bay,91,10/10/2017,10.00,34
Corpus Christi Bay,174,10/23/2017,10.00,15
Corpus Christi Bay,192,10/23/2017,10.00,5
Corpus Christi Bay,190,10/23/2017,10.00,2
Corpus Christi Bay,243,10/23/2017,10.00,18
Corpus Christi Bay,222,10/23/2017,10.00,20
Corpus Christi Bay,134,10/25/2017,10.00,0
Corpus Christi Bay,114,10/25/2017,10.00,41
Corpus Christi Bay,112,10/25/2017,10.00,110
Corpus Christi Bay,64,10/25/2017,10.00,95
Corpus Christi Bay,54,10/25/2017,10.00,75
Corpus Christi Bay,37,11/2/2017,11.00,5
Corpus Christi Bay,15,11/2/2017,11.00,148
Corpus Christi Bay,12,11/2/2017,11.00,766
Corpus Christi Bay,19,11/2/2017,11.00,750
Corpus Christi Bay,30,11/2/2017,11.00,1730
Corpus Christi Bay,41,11/2/2017,11.00,180
Corpus Christi Bay,111,11/7/2017,11.00,16
Corpus Christi Bay,113,11/7/2017,11.00,18
Corpus Christi Bay,134,11/7/2017,11.00,10
Corpus Christi Bay,135,11/7/2017,11.00,12
Corpus Christi Bay,63,11/20/2017,11.00,4
Corpus Christi Bay,92,11/20/2017,11.00,20
Corpus Christi Bay,94,11/20/2017,11.00,9
Corpus Christi Bay,78,11/20/2017,11.00,28
Corpus Christi Bay,81,11/20/2017,11.00,86
Corpus Christi Bay,46,11/21/2017,11.00,13
Corpus Christi Bay,59,11/21/2017,11.00,15
Corpus Christi Bay,238,11/21/2017,11.00,2
Corpus Christi Bay,73,11/21/2017,11.00,4
Corpus Christi Bay,192,11/29/2017,11.00,51
Corpus Christi Bay,14,12/4/2017,12.00,359
Corpus Christi Bay,30,12/4/2017,12.00,129
Corpus Christi Bay,43,12/4/2017,12.00,374
Corpus Christi Bay,97,12/4/2017,12.00,11
Corpus Christi Bay,95,12/4/2017,12.00,12
Corpus Christi Bay,93,12/4/2017,12.00,234
Corpus Christi Bay,92,12/4/2017,12.00,8
Corpus Christi Bay,116,12/4/2017,12.00,60
Corpus Christi Bay,131,12/11/2017,12.00,1
Corpus Christi Bay,134,12/11/2017,12.00,2
Corpus Christi Bay,37,12/19/2017,12.00,8
Corpus Christi Bay,69,12/19/2017,12.00,10
Corpus Christi Bay,68,12/19/2017,12.00,337
Corpus Christi Bay,58,12/19/2017,12.00,837
Corpus Christi Bay,56,12/19/2017,12.00,66
Corpus Christi Bay,112,12/20/2017,12.00,6
Corpus Christi Bay,110,12/20/2017,12.00,6
Corpus Christi Bay,73,12/20/2017,12.00,3
Corpus Christi Bay,221,12/21/2017,12.00,70
Corpus Christi Bay,243,12/21/2017,12.00,15
Upper Laguna Madre,325,7/6/2017,7.00,132
Upper Laguna Madre,309,7/6/2017,7.00,166
Upper Laguna Madre,275,7/6/2017,7.00,253
Upper Laguna Madre,242,7/10/2017,7.00,22
Upper Laguna Madre,230,7/10/2017,7.00,1
Upper Laguna Madre,104,7/10/2017,7.00,2
Upper Laguna Madre,48,7/11/2017,7.00,97
Upper Laguna Madre,53,7/11/2017,7.00,1
Upper Laguna Madre,57,7/11/2017,7.00,2
Upper Laguna Madre,51,7/11/2017,7.00,28
Upper Laguna Madre,178,7/19/2017,7.00,8
Upper Laguna Madre,146,7/19/2017,7.00,258
Upper Laguna Madre,137,7/19/2017,7.00,78
Upper Laguna Madre,197,7/19/2017,7.00,24
Upper Laguna Madre,118,7/19/2017,7.00,202
Upper Laguna Madre,105,7/25/2017,7.00,3
Upper Laguna Madre,77,7/25/2017,7.00,3
Upper Laguna Madre,71,7/25/2017,7.00,34
Upper Laguna Madre,6,7/27/2017,7.00,1
Upper Laguna Madre,21,7/27/2017,7.00,122
Upper Laguna Madre,344,8/2/2017,8.00,78
Upper Laguna Madre,340,8/2/2017,8.00,41
Upper Laguna Madre,330,8/2/2017,8.00,351
Upper Laguna Madre,148,8/2/2017,8.00,13
Upper Laguna Madre,327,8/2/2017,8.00,267
Upper Laguna Madre,135,8/2/2017,8.00,36
Upper Laguna Madre,138,8/2/2017,8.00,88
Upper Laguna Madre,93,8/2/2017,8.00,0
Upper Laguna Madre,184,8/2/2017,8.00,2
Upper Laguna Madre,183,8/2/2017,8.00,0
Upper Laguna Madre,155,8/21/2017,8.00,4
Upper Laguna Madre,178,8/21/2017,8.00,12
Upper Laguna Madre,195,8/21/2017,8.00,225
Upper Laguna Madre,218,8/21/2017,8.00,12
Upper Laguna Madre,127,8/21/2017,8.00,32
Upper Laguna Madre,96,8/22/2017,8.00,6
Upper Laguna Madre,20,8/23/2017,8.00,58
Upper Laguna Madre,42,8/23/2017,8.00,32
Upper Laguna Madre,22,8/23/2017,8.00,139
Upper Laguna Madre,11,8/23/2017,8.00,106
Upper Laguna Madre,168,9/5/2017,9.00,32
Upper Laguna Madre,250,9/5/2017,9.00,18
Upper Laguna Madre,329,9/11/2017,9.00,87
Upper Laguna Madre,319,9/11/2017,9.00,31
Upper Laguna Madre,234,9/11/2017,9.00,6
Upper Laguna Madre,107,9/11/2017,9.00,1
Upper Laguna Madre,91,9/12/2017,9.00,1
Upper Laguna Madre,93,9/12/2017,9.00,4
Upper Laguna Madre,96,9/12/2017,9.00,13
Upper Laguna Madre,95,9/12/2017,9.00,9
Upper Laguna Madre,197,9/18/2017,9.00,26
Upper Laguna Madre,198,9/18/2017,9.00,27
Upper Laguna Madre,176,9/18/2017,9.00,10
Upper Laguna Madre,164,9/18/2017,9.00,158
Upper Laguna Madre,132,9/20/2017,9.00,91
Upper Laguna Madre,345,9/20/2017,9.00,95
Upper Laguna Madre,39,9/25/2017,9.00,14
Upper Laguna Madre,17,9/27/2017,9.00,13
Upper Laguna Madre,15,9/27/2017,9.00,85
Upper Laguna Madre,14,9/27/2017,9.00,218
Upper Laguna Madre,8,10/3/2017,10.00,93
Upper Laguna Madre,27,10/3/2017,10.00,14
Upper Laguna Madre,40,10/3/2017,10.00,5
Upper Laguna Madre,55,10/3/2017,10.00,6
Upper Laguna Madre,242,10/8/2017,10.00,32
Upper Laguna Madre,249,10/8/2017,10.00,22
Upper Laguna Madre,151,10/8/2017,10.00,3
Upper Laguna Madre,159,10/8/2017,10.00,55
Upper Laguna Madre,83,10/10/2017,10.00,31
Upper Laguna Madre,95,10/11/2017,10.00,6
Upper Laguna Madre,338,10/17/2017,10.00,6
Upper Laguna Madre,313,10/17/2017,10.00,5
Upper Laguna Madre,306,10/17/2017,10.00,1
Upper Laguna Madre,300,10/17/2017,10.00,0
Upper Laguna Madre,267,10/17/2017,10.00,9
Upper Laguna Madre,194,10/24/2017,10.00,0
Upper Laguna Madre,195,10/24/2017,10.00,19
Upper Laguna Madre,174,10/24/2017,10.00,64
Upper Laguna Madre,168,10/25/2017,10.00,21
Upper Laguna Madre,208,10/25/2017,10.00,8
Upper Laguna Madre,137,11/1/2017,11.00,23
Upper Laguna Madre,128,11/1/2017,11.00,1871
Upper Laguna Madre,148,11/1/2017,11.00,26
Upper Laguna Madre,144,11/1/2017,11.00,6
Upper Laguna Madre,220,11/6/2017,11.00,26
Upper Laguna Madre,157,11/6/2017,11.00,65
Upper Laguna Madre,140,11/6/2017,11.00,16
Upper Laguna Madre,125,11/6/2017,11.00,17
Upper Laguna Madre,12,11/7/2017,11.00,91
Upper Laguna Madre,14,11/7/2017,11.00,154
Upper Laguna Madre,56,11/20/2017,11.00,3
Upper Laguna Madre,51,11/20/2017,11.00,24
Upper Laguna Madre,72,11/20/2017,11.00,22
Upper Laguna Madre,100,11/20/2017,11.00,9
Upper Laguna Madre,10,11/20/2017,11.00,20
Upper Laguna Madre,2,11/20/2017,11.00,13
Upper Laguna Madre,28,11/20/2017,11.00,5
Upper Laguna Madre,339,11/27/2017,11.00,126
Upper Laguna Madre,334,11/27/2017,11.00,135
Upper Laguna Madre,167,11/27/2017,11.00,60
Upper Laguna Madre,309,12/4/2017,12.00,1522
Upper Laguna Madre,297,12/4/2017,12.00,47
Upper Laguna Madre,289,12/4/2017,12.00,220
Upper Laguna Madre,276,12/4/2017,12.00,70
Upper Laguna Madre,81,12/4/2017,12.00,1
Upper Laguna Madre,233,12/11/2017,12.00,0
Upper Laguna Madre,246,12/11/2017,12.00,6
Upper Laguna Madre,252,12/11/2017,12.00,12
Upper Laguna Madre,251,12/11/2017,12.00,32
Upper Laguna Madre,240,12/11/2017,12.00,27
Upper Laguna Madre,146,12/18/2017,12.00,253
Upper Laguna Madre,159,12/18/2017,12.00,10
Upper Laguna Madre,143,12/18/2017,12.00,1
Upper Laguna Madre,155,12/18/2017,12.00,6
Upper Laguna Madre,195,12/18/2017,12.00,6
Upper Laguna Madre,102,12/20/2017,12.00,12
Upper Laguna Madre,63,12/21/2017,12.00,25
Upper Laguna Madre,64,12/21/2017,12.00,5
Upper Laguna Madre,65,12/21/2017,12.00,208
Upper Laguna Madre,75,12/21/2017,12.00,0
